Finglish	Persian
nesf rooz daaneshgaham nesf digarash raa ham be bache haaye mardom dars mideham khabari nist	نصف روز دانشگاهم،نصف دیگشم به بچه های مردم درس می دم. خبری نیست.
taa tasir gozaari in nahaad haaye behdashti raa afzaayesh dahim	تا تاثیرگذاری اجتماعی این نهادهای بهداشتی را افزایش دهیم
pas say kon bikhialash beshavi	پس سعي کن بيخيالش بشي
in tajrobe raa daashtim	این تجربه را داشتیم
mahram tarin fard zendegiam mahsaa ast	محرم ترین فرد زندگیم مهسا ست
taa ghabl az in ke hame chiz kharaab beshavad behtar ast yek fekr aaghelaane bokonim	تا قبل اینکه همه چیز خراب بشه بهتره یه فکر عاقلانه بکنیم.
khoshkam zad ashk haayam shor shor rikhtand	خشکم زد،اشکام شرشر ریختن
be aan del koochak va saaf va zolaalash hasoodiam shod	به اون دل کوچیک و صاف و سادش حسودیم شد
vaaghean moche paayam aasib dide ast	واقعا مچ پام آسيب ديده
5 daghighe pish azat porsidam	پنج دقیقه پیش ازت پرسیدم
naansi taamson ekhraaj shode ast	نانسي تامسون اخراج شده
in tanhaa raahi ast ke mishavad	اين تنها راهيه که ميشه
aahaay baa shoma hastam maloom hast daarid che kaar mikonid?	اهای با شمام، معلوم هست دارین چیکار می کنین؟
in zan goft yek kam garme kaash bokhaari raa khaamoosh monim	یه زنه گفت یکم گرمه، کاش بخاری رو خاموش کنی
man naft raa migiram	من نقش رو ميگيرم.
vali midaani chi baahaal ast?	ولي ميدوني چي باحاله؟
khob haalaa man asabi hastam	خوب حالا من عصبي هستم
bazi vaght haa khodam injaayam	بعضي وقتها خودم اونجام
cheraa baayad asabaani baasham?	چرا بايد عصباني باشم ؟
khoob hadeaghal lebaas khoobi ast	خوب ، حداقل لباس خوبيه
behtar nist biayi kenaar man?	بهتر نيست بياي کنار من
oo baa man be goor miravad	!اون با من به گور ميره
baraaye aroosi kheyli kaar daaram yek baaghebaan biavaram in hayaat raa beresad	برای عروسی خیلی کار دارم یه باغبون بیارم این حیاط رو برسه
khodaaye man in raa negaah kon	خداي من! اينو نگاه کن
gonde bood	گنده بود
va haalaa baa in barnaame va in morabihaa mitavaanand in kaar raa bokonand	و حالا با این برنامه و این مربیها، میتوانند اینکار را بکنند
digar sar kaar nemiravam	دیگه سرکار نمیرم
dovomi modire bozorgtarin kheyrie shahrash	دومی: مدیر بزرگترین خیریه شهرش
bejaaye in koli baazi haa berid baraayam ghazaa biavarid	بجای این کولی بازیا برین برام غذا بیارین.
dahanetaan raa bebandid	دهنتون رو ببندید
havaa dam karde bood az bas dood maashin haa too shahr boland shode bood	هوا دم کرده بود از بس دود ماشینا تو شهر بلند شده بود
albate shomaa hagh daarid baavar konid amaa nokte haminjaa ast ki bood ke behesh gofti badan zang bezanad yani taraf in ghadr mohem boode ke too aan sharaayet bekhaahi javaabash raa bedehi?	البته. شما همه حق دارین باور کنید. اما نکته همین جاست. کی بود که بهش گفتی بعداً زنگ بزنه؟ یعنی طرف اینقدر مهم بوده که توی اون شرایط بخوای جوابشو بدی؟
nemidaanim begam baabaa yek sedaai az aan too aamad khodam shenidam	نمیزارین بگم. بابا. یه صدایی از اون تو اومد. خودم شنیدم.
man haal va hosele nadaaram paa beshavam taa baazaar raah bioftam va biayam	من حال و حوصله ندارم پاشم تا بازار راه بیفتم و بیام.
aakhe baa in gerooni sigaar man taa filter sigaar raa ham nakesham ke fekram aaraam nemishavad	اخه با این گرونی سیگار من تا فیلتر سیگار رو هم نکشم که فکرم اروم نمیشه
pas say kon bikhialash beshavi	پس سعي کن بيخيالش بشي
bache haa maahi ghermez doost daarand	بچه ها ماهی قرمز دوست دارن
yek meghdaar paarche miavaram	يه مقدار پارچه ميارم
bi adabi rooye ahsaasaat maa angize maa amalkard maa tasir migozaarad va hamintor raftaar maa baa digaraan	بی ادبی روی احساسات ما، انگیزهٔ ما، عملکرد ما تاثیر میگذارد و همینطور رفتار ما با دیگران
pas motaaleaati raa tanzim kardim jaayi ke 5 sherkat konande shaahed amal gostaakhaane yek aazmaayeshgar nesbat be kasi ke baraaye tahghigh dir reside bood mishodand	پس مطالعاتی را تنظیم کردیم جایی که پنج شرکت کننده شاهد عمل گستاخانهی یک آزمایشگر نسبت به کسی که برای تحقیق دیر رسیده بود میشدند
aasef ghadeshaan boland ast?	عاصف قدشون بلنده؟
shomaa mikhaahid che kasi baashid? soaal saadeei ast va che bedaanid va che nadaanid javaab aan ra har rooz baa raftaaretaan midahid	شما میخواهید چه کسی باشید؟ سوال سادهای است، و چه بدانید چه ندانید، جواب آن را هر روز با رفتارتان میدهید
amaa aslan khodam raa be zahmat nayandaakhtam va kaar nakardam har kasi migoft kaar kon migoftam man tanbalam az man kaar nakhaahid	امااصلا خودمو به زحمت ننداختم وکار نکردم،هرکی میگفت کار کن،میگفتم من تنبلم ازمن کار نخایید
khob 5 saal injaa boodi	تو پنج سال اينجا بودي
mishavad yek lahze harf nazanim?	ميشه يه لحظه حرف نزني؟
shohar daarad jozaam ke nadaarad	شوهر داره جذام که نداره.
man vaaghean mazerat mikhaaham	من واقعا معذرت مي خوام
aroosi saa'at 6 shoroo mishavad	عروسي ساعت 6 شروع ميشه
emrooz khaane maadar shohar mohtaram jashn bood maa ham ke tashrif farmaa shode boodim naachaaran	امروز خونه مادرشوهرمحترم جشن بود،ماهم که تشریف فرماشده بودیم ناچارا
bache haa midonid chie?	بچه ها مي دونين چيه ؟
alaan taa hodoodi midaanam	الان تا حدودي مي دونه
in aks raa kheyli doost daaram be 2 dalil	این عکس رو خیلی دوست دارم به دو دلیل
hastam delash baraayam tang mishavad	حسن، دلش برام تنگ میشه
daarad bache haayash raa sedaa mizanad	داره بچه هاشو صدا می زنه
man ham migoftam baashad ghabool ast	منم ميگفتم باشه قبوله
ghaaedi shanbe miravad madrese yaa mimaanad khaane baazi perspolis raa mibinad?	قائدی شنبه میره مدرسه یا میمونه خونه بازی پرسپولیس رو میبینه؟
midaani? aslan mohem nist	ميدوني، اصلا مهم نيست
bi adabi kaarkonaan va amalkard shaan raa bi asar mikonad	بیادبی کارکنان و عملکردشان را کم اثر میکند
aan vaght man ham mishavam hamkaarat	اونوقت منم ميشم همکارت
chand baar begooyam dozdi dar kaar nist eshaare be mostaraam moshkel az aan jaa ast	چند بار بگم دزدی در کار نیست اشاره به مستراح مشکل از اونجاست.
haalaa har chi hanooz yaadam narafte haa	حالا هر چی هنوز یادم نرفته ها.
mota'asefaane baazaar ketaab koodak por ast az in mafaahim aazaarande	متاسفانه بازار کتاب کودک پر است از این دست مفاهیم ازارنده
oo alaan vaaghean naaraahat ast	اون الان واقعا ناراحته
behesh migooyad ke doostash daarad	بهش ميگه که دوستش داره
behesh begoo hich kas nemitavaanad	بهش بگو هيچکس نمي تونه
chand rooz ast resideand aazar khaanom	چند روزه رسیدن اذر خانم؟
bale man hatman khoobi shomaa raa faraamoosh nemikonam taa dir nashode az posht baam faraar konid agar jelotaan raa gereftand begooid doost farmoosh hastim	بله حتماً من خوبی شما رو فراموش نمی کنم. تا دیر نشده از پشت بوم فرار کنید. اگه جلوتونو گرفتن بگید دوست فرموش هستیم.
man kaashef sarzamin haaye door oftaade hastam	من کاشف سرزمینای دور افتاده هستم
maamaan naakhonat raa nakhor	مامان ، ناخنت رو نخور
aan haa aakhar dorost va hesaabiand	.اونا آخر درست حسابين
be khodaa ghadr daaryoosh raa bedaanid be hamin shirinkaam ghasam lenge ash kam ast too mard haa	بخدا قدر داریوش رو بدونین! به همین شیرین کام قسم، لنگش کمه تو مردا.
bache injaa che kaar mikoni?	بچه اینجا چیکار می کنی؟
vali shekaayati nemikonam	.ولي شکايتي نمي کنه.
kaashima khoob entegham baakht saaypa too jaam hazfi raa gereft	کاشیما خوب انتقام باخت به سایپا تو جام حذفی رو گرفت
az aan pesar porsid aayaa baraaye behboodi khaahart haazeri be oo khoon ehda koni?	از آن پسر پرسید: آیا برای بهبودی خواهرت حاضری به اون خون اهدا کنی؟
vaghti bargashtim hodoodan saa'at haaye 9 shab bood	وقتی برگشتیم حدودا ساعتای نه شب بود
mardom khashmnaak hastand	مردم خشمناک هستند
chon to tooye tim man hasti	چون تو توي تيم من هستي
yek lahze gooshi raa negahdaar	يه لحظه گوشي رو نگهدار
va yek maadar va pesar ham be shohar jaan dolaar daadand va pool baa arzesh maan raa gereftand	و یه مادر و پسر هم به شوهرجان دلار دادن و پول با ارزشمون رو گرفتن
man chizi nemigooyam dahanam ghors ast amaa mahz etelaaet agar dafe bad khaast biad in too gooshish raa azash begirid akhe har baar ke aamade bedoon gooshi nayaamade yek tir va do neshaan mizanad	من چیزی نمیگم. دهنم قرصه. اما محض اطلاع اگه دفعه بعد خواست بیاد این تو، گوشیشو ازش بگیرین. آخه هر بار که اومده بدون گوشی نیومده، یه تیرو دونشون میزنه.
kaash beshavad	کاش بشه
zang mizanam polis biayad jamat konad martike fekr kardi nim kiloo chaagh shodi maa azat mitarsim?	زنگ می زنم پلیس بیاد جمعت کنه. مرتیکه. فکر کردی نیم کیلو چاق شدی ما ازت می ترسیم؟
to baa in haal zediat daari	تو با اينها ضديت داري
albate aan moghe haa mesl alaan nabood mardom gozasht va hamdeli shan bishtar bood	البته اون موقع ها مثل الان نبود مردم گذشت و همدلیشون بیشتر بود.
vaziat tori shode ke baayad in tori polo morgh bokhorim	وضعیت جوری شده که باید اینجوری پلو مرغ بخوریم
yaad begirid va tamrin konid baraaye yek maah digaretaan khoob ast	یاد بگیرید و تمرین کنید واسه یه ماه دیگتون خوبه
alaan oo rafte vam begirad taa moshkelemaan raa hal konad	الانم رفته وام بگیره تا مشکلمون رو حل کنه
mesl maa haa nemitavaanand harf bezanand va begooyand che chizi shaan shode kheyli mazloom va bi defaa'and	مثل ماها نمیتونن حرف بزنن و بگن چششون شده،خیلی مظلوم و بی دفاعن
yek nazar halaal tar az shir maadar ast	یه نظر حلال تر از شیر مادره.
midaani mardom migooyand	ميدوني مردم ميگن
nemigozari begooyam baabaa yek sedaayi az aan too aamad khodam shenidam	نمیزارین بگم. بابا. یه صدایی از اون تو اومد. خودم شنیدم.
agar esm kaamelash raa gofi?	اگر اسم کاملش رو گفتي
man chand taa navaar raa didam	من چند تا نوار رو ديدم
azataan delkhoram moones khaanom	ازتون دلخورم مونس خانم!
nemikhaahi ke asabaaniash koni?	.نميخاي که عصبانيش کني
man goftam khoon sard baash	من گفتم خونسرد باش
fekr haaye kheyli ziaadi kardam	فکرهاي خيلي زيادي کردم
